versionnumber,factor
requeststarttime,factor
operationtype,factor
requeststatus,factor
httpstatuscode,factor
endtoendlatencyinms,numeric
serverlatencyinms,numeric
authenticationtype,factor
requestoraccountname,factor
owneraccountname,factor
servicetype,factor
requesturl,character
requestedobjectkey,factor
requestidheader,factor
operationcount,numeric
requestoripaddress,character
requestversionheader,factor
requestheadersize,numeric
requestpacketsize,numeric
responseheadersize,numeric
responsepacketsize,numeric
requestcontentlength,numeric
requestmd5,character
servermd5,character
etagidentifier,character
lastmodifiedtime,factor
conditionsused,character
useragentheader,factor
referrerheader,factor
clientrequestid,factor
